>>12:36:24 : выставлено : Нет связи с транспортным модулем
>>12:36:26 : снято : Нет связи с транспортным модулем
>>12:36:28 : выставлено : Нет связи с транспортным модулем
>>12:36:33 : снято : Нет связи с транспортным модулем
>>12:36:35 : выставлено : Нет связи с транспортным модулем
>>12:36:42 : снято : Нет связи с транспортным модулем
>>12:36:44 : выставлено : Нет связи с транспортным модулем
>>12:36:48 : снято : Нет связи с транспортным модулем
>>12:36:51 : выставлено : Нет связи с транспортным модулем
>>12:36:54 : снято : Нет связи с транспортным модулем
>>12:36:56 : выставлено : Нет связи с транспортным модулем
>>12:36:58 : снято : Нет связи с транспортным модулем
>>12:37:01 : выставлено : Нет связи с транспортным модулем
>>12:37:02 : снято : Нет связи с транспортным модулем
>>12:37:06 : выставлено : Нет связи с транспортным модулем
>>12:37:08 : снято : Нет связи с транспортным модулем
>>12:37:10 : выставлено : Нет связи с транспортным модулем
>>12:37:15 : снято : Нет связи с транспортным модулем
>>12:37:18 : выставлено : Нет связи с транспортным модулем
>>12:37:26 : снято : Нет связи с транспортным модулем
>>12:37:29 : выставлено : Нет связи с транспортным модулем
>>12:37:40 : снято : Нет связи с транспортным модулем
>>12:37:42 : выставлено : Нет связи с транспортным модулем
>>12:37:50 : снято : Нет связи с транспортным модулем
>>12:37:51 : выставлено : Нет связи с транспортным модулем
>>12:37:56 : снято : Нет связи с транспортным модулем
>>12:37:58 : выставлено : Нет связи с транспортным модулем
>>12:38:00 : снято : Нет связи с транспортным модулем
>>12:38:02 : выставлено : Нет связи с транспортным модулем
>>12:38:04 : снято : Нет связи с транспортным модулем
>>12:38:06 : выставлено : Нет связи с транспортным модулем
>>12:38:13 : снято : Нет связи с транспортным модулем
>>12:38:15 : выставлено : Нет связи с транспортным модулем
>>12:38:20 : снято : Нет связи с транспортным модулем
>>12:38:22 : выставлено : Нет связи с транспортным модулем
>>12:38:26 : снято : Нет связи с транспортным модулем
>>12:38:30 : выставлено : Нет связи с транспортным модулем
>>12:38:32 : снято : Нет связи с транспортным модулем
>>12:38:35 : выставлено : Нет связи с транспортным модулем
>>12:38:36 : снято : Нет связи с транспортным модулем
>>12:38:40 : выставлено : Нет связи с транспортным модулем
>>12:38:41 : снято : Нет связи с транспортным модулем
>>12:38:45 : выставлено : Нет связи с транспортным модулем
>>12:38:52 : снято : Нет связи с транспортным модулем
>>12:38:56 : выставлено : Нет связи с транспортным модулем
>>12:38:59 : снято : Нет связи с транспортным модулем
>>12:39:01 : выставлено : Нет связи с транспортным модулем
>>12:39:16 : снято : Нет связи с транспортным модулем
>>12:39:20 : выставлено : Нет связи с транспортным модулем
>>12:39:21 : снято : Нет связи с транспортным модулем
>>12:39:27 : выставлено : Нет связи с транспортным модулем
>>12:39:34 : снято : Нет связи с транспортным модулем
>>12:39:36 : выставлено : Нет связи с транспортным модулем
>>12:39:52 : снято : Нет связи с транспортным модулем
>>12:39:53 : выставлено : Нет связи с транспортным модулем
>>12:39:55 : снято : Нет связи с транспортным модулем
>>12:39:57 : выставлено : Нет связи с транспортным модулем
>>12:39:58 : снято : Нет связи с транспортным модулем
>>12:40:00 : выставлено : Нет связи с транспортным модулем
>>12:40:10 : снято : Нет связи с транспортным модулем
>>12:40:15 : выставлено : Нет связи с транспортным модулем
>>12:40:20 : снято : Нет связи с транспортным модулем
>>12:40:22 : выставлено : Нет связи с транспортным модулем
>>12:40:22 : снято : Нет связи с транспортным модулем
>>12:40:25 : выставлено : Нет связи с транспортным модулем
>>12:40:30 : снято : Нет связи с транспортным модулем
>>12:40:36 : выставлено : Нет связи с транспортным модулем
>>12:40:45 : снято : Нет связи с транспортным модулем
>>12:40:51 : выставлено : Нет связи с транспортным модулем
>>12:40:53 : снято : Нет связи с транспортным модулем
>>12:40:56 : выставлено : Нет связи с транспортным модулем
>>12:40:58 : снято : Нет связи с транспортным модулем
>>12:41:02 : выставлено : Нет связи с транспортным модулем
>>12:41:07 : снято : Нет связи с транспортным модулем
>>12:41:09 : выставлено : Нет связи с транспортным модулем
>>12:41:11 : снято : Нет связи с транспортным модулем
>>12:41:20 : выставлено : Нет связи с транспортным модулем
>>12:41:25 : снято : Нет связи с транспортным модулем
>>12:41:27 : выставлено : Нет связи с транспортным модулем
>>12:41:28 : снято : Нет связи с транспортным модулем
>>12:41:35 : выставлено : Нет связи с транспортным модулем
>>12:41:38 : снято : Нет связи с транспортным модулем
>>12:41:42 : выставлено : Нет связи с транспортным модулем
>>12:41:43 : снято : Нет связи с транспортным модулем
>>12:41:46 : выставлено : Нет связи с транспортным модулем
>>12:41:54 : снято : Нет связи с транспортным модулем
>>12:41:56 : выставлено : Нет связи с транспортным модулем
>>12:42:11 : снято : Нет связи с транспортным модулем
>>12:42:13 : выставлено : Нет связи с транспортным модулем
>>12:42:13 : снято : Нет связи с транспортным модулем
>>12:42:15 : выставлено : Нет связи с транспортным модулем
>>12:42:24 : снято : Нет связи с транспортным модулем
>>12:42:27 : выставлено : Нет связи с транспортным модулем
>>12:42:28 : снято : Нет связи с транспортным модулем
>>12:42:37 : выставлено : Нет связи с транспортным модулем
>>12:42:38 : снято : Нет связи с транспортным модулем
>>12:42:51 : выставлено : Нет связи с транспортным модулем
>>12:42:52 : снято : Нет связи с транспортным модулем
>>12:42:54 : выставлено : Нет связи с транспортным модулем
>>12:43:01 : снято : Нет связи с транспортным модулем
>>12:43:06 : выставлено : Нет связи с транспортным модулем
>>12:43:09 : снято : Нет связи с транспортным модулем
>>12:43:12 : выставлено : Нет связи с транспортным модулем
>>12:43:19 : снято : Нет связи с транспортным модулем
>>12:43:22 : выставлено : Нет связи с транспортным модулем
>>12:43:32 : снято : Нет связи с транспортным модулем
>>12:43:38 : выставлено : Нет связи с транспортным модулем
>>12:43:39 : снято : Нет связи с транспортным модулем
>>12:43:41 : выставлено : Нет связи с транспортным модулем
>>12:43:42 : снято : Нет связи с транспортным модулем
>>12:43:45 : выставлено : Нет связи с транспортным модулем
>>12:43:46 : снято : Нет связи с транспортным модулем
>>12:43:52 : выставлено : Нет связи с транспортным модулем
>>12:43:53 : снято : Нет связи с транспортным модулем
>>12:43:55 : выставлено : Нет связи с транспортным модулем
>>12:44:04 : снято : Нет связи с транспортным модулем
>>12:44:06 : выставлено : Нет связи с транспортным модулем
>>12:44:10 : снято : Нет связи с транспортным модулем
>>12:44:14 : выставлено : Нет связи с транспортным модулем
>>12:44:23 : снято : Нет связи с транспортным модулем
>>12:44:25 : выставлено : Нет связи с транспортным модулем
>>12:44:25 : снято : Нет связи с транспортным модулем
>>12:44:27 : выставлено : Нет связи с транспортным модулем
>>12:44:38 : снято : Нет связи с транспортным модулем
>>12:44:43 : выставлено : Нет связи с транспортным модулем
>>12:44:47 : снято : Нет связи с транспортным модулем
>>12:44:52 : выставлено : Нет связи с транспортным модулем
>>12:45:00 : снято : Нет связи с транспортным модулем
>>12:45:02 : выставлено : Нет связи с транспортным модулем
>>12:45:04 : снято : Нет связи с транспортным модулем
>>12:45:07 : выставлено : Нет связи с транспортным модулем
>>12:45:11 : снято : Нет связи с транспортным модулем
>>12:45:14 : выставлено : Нет связи с транспортным модулем
>>12:45:26 : снято : Нет связи с транспортным модулем
>>12:45:34 : выставлено : Нет связи с транспортным модулем
>>12:45:34 : снято : Нет связи с транспортным модулем
>>12:45:36 : выставлено : Нет связи с транспортным модулем
>>12:45:37 : снято : Нет связи с транспортным модулем
>>12:45:43 : выставлено : Нет связи с транспортным модулем
>>12:45:44 : снято : Нет связи с транспортным модулем
>>12:45:47 : выставлено : Нет связи с транспортным модулем
>>12:45:49 : снято : Нет связи с транспортным модулем
>>12:45:56 : выставлено : Нет связи с транспортным модулем
>>12:45:58 : снято : Нет связи с транспортным модулем
>>12:46:06 : выставлено : Нет связи с транспортным модулем
>>12:46:11 : снято : Нет связи с транспортным модулем
>>12:46:21 : выставлено : Нет связи с транспортным модулем
>>12:46:21 : снято : Нет связи с транспортным модулем
>>12:46:30 : выставлено : Нет связи с транспортным модулем
>>12:46:30 : снято : Нет связи с транспортным модулем
>>12:46:32 : выставлено : Нет связи с транспортным модулем
>>12:46:38 : снято : Нет связи с транспортным модулем
>>12:46:45 : выставлено : Нет связи с транспортным модулем
>>12:46:46 : снято : Нет связи с транспортным модулем
>>12:46:53 : выставлено : Нет связи с транспортным модулем
>>12:46:56 : снято : Нет связи с транспортным модулем
