>>13:11:58 : выставлено : Нет связи с БПМ
>>13:13:20 : снято : Нет связи с БПМ
>>13:13:22 : выставлено : Нет связи с БПМ
>>13:14:44 : снято : Нет связи с БПМ
>>13:14:46 : выставлено : Нет связи с БПМ
>>13:16:08 : снято : Нет связи с БПМ
>>13:16:10 : выставлено : Нет связи с БПМ
>>13:17:32 : снято : Нет связи с БПМ
>>13:17:34 : выставлено : Нет связи с БПМ
>>13:18:55 : снято : Нет связи с БПМ
>>13:18:57 : выставлено : Нет связи с БПМ
>>13:20:19 : снято : Нет связи с БПМ
>>13:20:21 : выставлено : Нет связи с БПМ
>>13:21:43 : снято : Нет связи с БПМ
>>13:21:45 : выставлено : Нет связи с БПМ
>>13:23:07 : снято : Нет связи с БПМ
>>13:23:09 : выставлено : Нет связи с БПМ
>>13:24:31 : снято : Нет связи с БПМ
>>13:24:33 : выставлено : Нет связи с БПМ
>>13:25:55 : снято : Нет связи с БПМ
>>13:25:57 : выставлено : Нет связи с БПМ
>>13:27:18 : снято : Нет связи с БПМ
>>13:27:20 : выставлено : Нет связи с БПМ
>>13:28:42 : снято : Нет связи с БПМ
>>13:28:44 : выставлено : Нет связи с БПМ
>>13:30:06 : снято : Нет связи с БПМ
>>13:30:08 : выставлено : Нет связи с БПМ
>>13:31:30 : снято : Нет связи с БПМ
>>13:31:32 : выставлено : Нет связи с БПМ
>>13:32:54 : снято : Нет связи с БПМ
>>13:32:56 : выставлено : Нет связи с БПМ
>>13:34:18 : снято : Нет связи с БПМ
>>13:34:20 : выставлено : Нет связи с БПМ
>>13:35:42 : снято : Нет связи с БПМ
>>13:35:44 : выставлено : Нет связи с БПМ
>>13:37:06 : снято : Нет связи с БПМ
>>13:37:08 : выставлено : Нет связи с БПМ
>>13:38:29 : снято : Нет связи с БПМ
>>13:38:31 : выставлено : Нет связи с БПМ
>>13:39:53 : снято : Нет связи с БПМ
>>13:39:55 : выставлено : Нет связи с БПМ
>>13:41:17 : снято : Нет связи с БПМ
>>13:41:19 : выставлено : Нет связи с БПМ
>>13:42:41 : снято : Нет связи с БПМ
>>13:42:43 : выставлено : Нет связи с БПМ
>>13:44:05 : снято : Нет связи с БПМ
>>13:44:07 : выставлено : Нет связи с БПМ
>>13:45:29 : снято : Нет связи с БПМ
>>13:45:31 : выставлено : Нет связи с БПМ
>>13:46:53 : снято : Нет связи с БПМ
>>13:46:55 : выставлено : Нет связи с БПМ
>>13:48:16 : снято : Нет связи с БПМ
>>13:48:18 : выставлено : Нет связи с БПМ
>>13:49:40 : снято : Нет связи с БПМ
>>13:49:42 : выставлено : Нет связи с БПМ
>>13:51:04 : снято : Нет связи с БПМ
>>13:51:06 : выставлено : Нет связи с БПМ
>>13:52:28 : снято : Нет связи с БПМ
>>13:52:30 : выставлено : Нет связи с БПМ
>>13:53:52 : снято : Нет связи с БПМ
>>13:53:54 : выставлено : Нет связи с БПМ
>>13:55:16 : снято : Нет связи с БПМ
>>13:55:18 : выставлено : Нет связи с БПМ
>>13:56:14 : выставлено : ДЗ масс-спектрометра не пришла в заданное положение
>>13:56:15 : снято : ДЗ масс-спектрометра не пришла в заданное положение
>>13:56:29 : выставлено : Нет высокого вакуума в масс-спектрометре
>>13:56:35 : снято : Нет высокого вакуума в масс-спектрометре
>>13:56:39 : снято : Нет связи с БПМ
>>13:56:41 : выставлено : Нет связи с БПМ
>>13:58:03 : снято : Нет связи с БПМ
>>13:58:05 : выставлено : Нет связи с БПМ
>>13:59:27 : снято : Нет связи с БПМ
>>13:59:29 : выставлено : Нет связи с БПМ
>>14:00:51 : снято : Нет связи с БПМ
>>14:00:53 : выставлено : Нет связи с БПМ
>>14:02:15 : снято : Нет связи с БПМ
>>14:02:17 : выставлено : Нет связи с БПМ
>>14:03:38 : снято : Нет связи с БПМ
>>14:03:41 : выставлено : Нет связи с БПМ
>>14:05:03 : снято : Нет связи с БПМ
>>14:05:05 : выставлено : Нет связи с БПМ
>>14:06:27 : снято : Нет связи с БПМ
>>14:06:28 : выставлено : Нет связи с БПМ
>>14:07:50 : снято : Нет связи с БПМ
>>14:07:52 : выставлено : Нет связи с БПМ
