>>10:30:28 : выставлено : Нет связи с транспортным модулем
>>10:30:31 : снято : Нет связи с транспортным модулем
>>10:30:37 : выставлено : Нет связи с транспортным модулем
>>10:30:37 : снято : Нет связи с транспортным модулем
>>10:30:38 : выставлено : Нет связи с транспортным модулем
>>10:30:39 : снято : Нет связи с транспортным модулем
>>10:30:40 : выставлено : Нет связи с транспортным модулем
>>10:30:40 : снято : Нет связи с транспортным модулем
>>10:30:44 : выставлено : Нет связи с транспортным модулем
>>10:30:44 : снято : Нет связи с транспортным модулем
>>10:30:45 : выставлено : Нет связи с транспортным модулем
>>10:30:46 : снято : Нет связи с транспортным модулем
>>10:30:51 : выставлено : Нет связи с транспортным модулем
>>10:30:52 : снято : Нет связи с транспортным модулем
>>10:30:53 : выставлено : Нет связи с транспортным модулем
>>10:30:55 : снято : Нет связи с транспортным модулем
>>10:30:56 : выставлено : Нет связи с транспортным модулем
>>10:30:56 : снято : Нет связи с транспортным модулем
>>10:30:57 : выставлено : Нет связи с транспортным модулем
>>10:30:58 : снято : Нет связи с транспортным модулем
>>10:30:59 : выставлено : Нет связи с транспортным модулем
>>10:30:59 : снято : Нет связи с транспортным модулем
>>10:31:01 : выставлено : Нет связи с транспортным модулем
>>10:31:03 : снято : Нет связи с транспортным модулем
>>10:31:05 : выставлено : Нет связи с транспортным модулем
>>10:31:06 : снято : Нет связи с транспортным модулем
>>10:31:08 : выставлено : Нет связи с транспортным модулем
>>10:31:09 : снято : Нет связи с транспортным модулем
>>10:31:11 : выставлено : Нет связи с транспортным модулем
>>10:31:12 : снято : Нет связи с транспортным модулем
>>10:31:17 : выставлено : Нет связи с транспортным модулем
>>10:31:18 : снято : Нет связи с транспортным модулем
>>10:31:20 : выставлено : Нет связи с транспортным модулем
>>10:31:20 : снято : Нет связи с транспортным модулем
>>10:31:22 : выставлено : Нет связи с транспортным модулем
>>10:31:23 : снято : Нет связи с транспортным модулем
>>10:31:23 : выставлено : Нет связи с транспортным модулем
>>10:31:25 : снято : Нет связи с транспортным модулем
>>10:31:27 : выставлено : Нет связи с транспортным модулем
>>10:31:28 : снято : Нет связи с транспортным модулем
>>10:31:30 : выставлено : Нет связи с транспортным модулем
>>10:31:30 : снято : Нет связи с транспортным модулем
>>10:31:36 : выставлено : Нет связи с транспортным модулем
>>10:31:37 : снято : Нет связи с транспортным модулем
>>10:31:39 : выставлено : Нет связи с транспортным модулем
>>10:31:39 : снято : Нет связи с транспортным модулем
>>10:31:40 : выставлено : Нет связи с транспортным модулем
>>10:31:41 : снято : Нет связи с транспортным модулем
>>10:31:43 : выставлено : Нет связи с транспортным модулем
>>10:31:45 : снято : Нет связи с транспортным модулем
>>10:31:46 : выставлено : Нет связи с транспортным модулем
>>10:31:47 : снято : Нет связи с транспортным модулем
>>10:31:49 : выставлено : Нет связи с транспортным модулем
>>10:31:49 : снято : Нет связи с транспортным модулем
>>10:31:55 : выставлено : Нет связи с транспортным модулем
>>10:31:56 : снято : Нет связи с транспортным модулем
>>10:31:58 : выставлено : Нет связи с транспортным модулем
>>10:31:58 : снято : Нет связи с транспортным модулем
>>10:32:00 : выставлено : Нет связи с транспортным модулем
>>10:32:01 : снято : Нет связи с транспортным модулем
>>10:32:01 : выставлено : Нет связи с транспортным модулем
>>10:32:03 : снято : Нет связи с транспортным модулем
>>10:32:04 : выставлено : Нет связи с транспортным модулем
>>10:32:05 : снято : Нет связи с транспортным модулем
>>10:32:07 : выставлено : Нет связи с транспортным модулем
>>10:32:08 : снято : Нет связи с транспортным модулем
>>10:32:10 : выставлено : Нет связи с транспортным модулем
>>10:32:10 : снято : Нет связи с транспортным модулем
>>10:32:14 : выставлено : Нет связи с транспортным модулем
>>10:32:14 : снято : Нет связи с транспортным модулем
>>10:32:16 : выставлено : Нет связи с транспортным модулем
>>10:32:17 : снято : Нет связи с транспортным модулем
>>10:32:23 : выставлено : Нет связи с транспортным модулем
>>10:32:23 : снято : Нет связи с транспортным модулем
>>10:32:25 : выставлено : Нет связи с транспортным модулем
>>10:32:27 : снято : Нет связи с транспортным модулем
>>10:32:28 : выставлено : Нет связи с транспортным модулем
>>10:32:28 : снято : Нет связи с транспортным модулем
