>>16:16:49 : снято : Нет связи с транспортным модулем
>>16:17:06 : выставлено : Нет связи с транспортным модулем
>>16:17:07 : снято : Нет связи с транспортным модулем
>>16:19:25 : выставлено : Нет связи с транспортным модулем
>>16:19:26 : снято : Нет связи с транспортным модулем
>>16:20:24 : выставлено : Нет давления в пневмосети
>>16:20:24 : снято : Нет давления в пневмосети
>>16:20:26 : выставлено : Нет связи с транспортным модулем
>>16:20:27 : снято : Нет связи с транспортным модулем
>>16:20:42 : выставлено : Нет связи с транспортным модулем
>>16:20:43 : снято : Нет связи с транспортным модулем
>>16:20:46 : выставлено : Нет связи с транспортным модулем
>>16:20:47 : снято : Нет связи с транспортным модулем
>>16:20:57 : выставлено : Нет связи с транспортным модулем
>>16:20:58 : снято : Нет связи с транспортным модулем
>>16:21:02 : выставлено : Нет связи с транспортным модулем
>>16:21:02 : снято : Нет связи с транспортным модулем
>>16:21:19 : выставлено : Нет связи с транспортным модулем
>>16:21:20 : снято : Нет связи с транспортным модулем
>>16:21:26 : выставлено : Нет связи с транспортным модулем
>>16:21:26 : снято : Нет связи с транспортным модулем
>>16:21:34 : выставлено : Нет связи с транспортным модулем
>>16:21:35 : снято : Нет связи с транспортным модулем
>>16:21:36 : выставлено : Нет связи с транспортным модулем
>>16:21:37 : снято : Нет связи с транспортным модулем
>>16:22:07 : выставлено : Нет связи с транспортным модулем
>>16:22:08 : снято : Нет связи с транспортным модулем
>>16:23:24 : выставлено : Нет связи с транспортным модулем
>>16:23:24 : снято : Нет связи с транспортным модулем
>>16:23:26 : выставлено : Нет связи с транспортным модулем
>>16:23:27 : снято : Нет связи с транспортным модулем
>>16:23:50 : выставлено : Нет связи с транспортным модулем
>>16:23:51 : снято : Нет связи с транспортным модулем
>>16:23:56 : выставлено : Нет связи с транспортным модулем
>>16:23:57 : снято : Нет связи с транспортным модулем
>>16:24:07 : выставлено : Нет связи с транспортным модулем
>>16:24:08 : снято : Нет связи с транспортным модулем
>>16:24:22 : выставлено : Нет связи с транспортным модулем
>>16:24:23 : снято : Нет связи с транспортным модулем
>>16:24:27 : выставлено : Нет связи с транспортным модулем
>>16:24:28 : снято : Нет связи с транспортным модулем
>>16:24:55 : выставлено : Нет связи с транспортным модулем
>>16:24:56 : снято : Нет связи с транспортным модулем
>>16:25:08 : выставлено : Нет связи с транспортным модулем
>>16:25:08 : снято : Нет связи с транспортным модулем
>>16:25:32 : выставлено : Нет связи с транспортным модулем
>>16:25:33 : снято : Нет связи с транспортным модулем
>>16:25:37 : выставлено : Нет связи с транспортным модулем
>>16:25:38 : снято : Нет связи с транспортным модулем
>>16:25:41 : выставлено : Нет связи с транспортным модулем
>>16:25:42 : снято : Нет связи с транспортным модулем
>>16:25:43 : выставлено : Нет связи с транспортным модулем
>>16:25:44 : снято : Нет связи с транспортным модулем
>>16:25:45 : выставлено : Нет связи с транспортным модулем
>>16:25:46 : снято : Нет связи с транспортным модулем
>>16:25:56 : выставлено : Нет связи с транспортным модулем
>>16:25:57 : снято : Нет связи с транспортным модулем
>>16:26:01 : выставлено : Нет связи с транспортным модулем
>>16:26:02 : снято : Нет связи с транспортным модулем
>>16:26:12 : выставлено : Нет связи с транспортным модулем
>>16:26:12 : снято : Нет связи с транспортным модулем
>>16:26:16 : выставлено : Нет связи с транспортным модулем
>>16:26:17 : снято : Нет связи с транспортным модулем
>>16:27:41 : выставлено : Нет связи с транспортным модулем
>>16:27:42 : снято : Нет связи с транспортным модулем
>>16:27:46 : выставлено : Нет связи с транспортным модулем
>>16:27:46 : снято : Нет связи с транспортным модулем
>>16:27:56 : выставлено : Нет связи с транспортным модулем
>>16:27:57 : снято : Нет связи с транспортным модулем
>>16:28:01 : выставлено : Нет связи с транспортным модулем
>>16:28:02 : снято : Нет связи с транспортным модулем
>>16:28:03 : выставлено : Нет связи с транспортным модулем
>>16:28:04 : снято : Нет связи с транспортным модулем
>>16:28:12 : выставлено : Нет связи с транспортным модулем
>>16:28:13 : снято : Нет связи с транспортным модулем
>>16:28:14 : выставлено : Нет связи с транспортным модулем
>>16:28:15 : снято : Нет связи с транспортным модулем
>>16:28:47 : выставлено : Нет связи с транспортным модулем
>>16:28:48 : снято : Нет связи с транспортным модулем
>>16:28:51 : выставлено : Нет связи с транспортным модулем
>>16:28:52 : снято : Нет связи с транспортным модулем
>>16:30:08 : выставлено : Нет связи с транспортным модулем
